,index,player,team,type,shot_outcome,shot_body_part,shot_type,location,shot_statsbomb_xg
1339,3817,Ashley Young,England,Shot,Saved,Right Foot,Free Kick,"[115.0, 18.0]",0.043674327
1340,3818,Raheem Shaquille Sterling,England,Shot,Blocked,Right Foot,Open Play,"[112.0, 54.0]",0.026669312
1341,3819,Raheem Shaquille Sterling,England,Shot,Blocked,Right Foot,Open Play,"[98.0, 37.0]",0.02635788
1342,3820,Harry Kane,England,Shot,Off T,Head,Open Play,"[119.0, 36.0]",0.36664945
1343,3821,Juan Guillermo Cuadrado Bello,Colombia,Shot,Blocked,Right Foot,Open Play,"[97.0, 56.0]",0.01689895
1344,3822,Johan Andrés Mojica Palacio,Colombia,Shot,Off T,Left Foot,Open Play,"[90.0, 18.0]",0.016841354
1345,3823,Raheem Shaquille Sterling,England,Shot,Blocked,Left Foot,Open Play,"[101.0, 46.0]",0.045488525
1346,3824,Juan Fernando Quintero Paniagua,Colombia,Shot,Off T,Left Foot,Open Play,"[92.0, 49.0]",0.026235223
1347,3825,Kieran Trippier,England,Shot,Off T,Right Foot,Free Kick,"[99.0, 31.0]",0.11374216
1348,3826,Harry Kane,England,Shot,Off T,Right Foot,Open Play,"[94.0, 59.0]",0.011127956
1349,3827,Juan Fernando Quintero Paniagua,Colombia,Shot,Saved,Left Foot,Open Play,"[97.0, 52.0]",0.020483479
1350,3828,Jesse Lingard,England,Shot,Off T,Right Foot,Open Play,"[108.0, 50.0]",0.019548655
1351,3829,Harry Kane,England,Shot,Goal,Right Foot,Penalty,"[108.0, 40.0]",0.76
1352,3830,Juan Fernando Quintero Paniagua,Colombia,Shot,Blocked,Left Foot,Open Play,"[78.0, 41.0]",0.015556041
1353,3831,Bamidele Alli,England,Shot,Off T,Head,Open Play,"[117.0, 32.0]",0.06714824
1354,3832,Harry Maguire,England,Shot,Off T,Head,Open Play,"[108.0, 45.0]",0.027762733
1355,3833,Juan Guillermo Cuadrado Bello,Colombia,Shot,Off T,Right Foot,Open Play,"[108.0, 52.0]",0.07512768
1356,3834,Harry Maguire,England,Shot,Off T,Head,Open Play,"[115.0, 31.0]",0.041914552
1357,3835,Davinson Sánchez Mina,Colombia,Shot,Wayward,Head,Open Play,"[110.0, 46.0]",0.041831743
1358,3836,Radamel Falcao García Zárate,Colombia,Shot,Off T,Head,Open Play,"[114.0, 45.0]",0.050471604
1359,3837,Radamel Falcao García Zárate,Colombia,Shot,Saved,Right Foot,Open Play,"[94.0, 47.0]",0.029559905
1360,3838,Andrés Mateus Uribe Villa,Colombia,Shot,Saved,Right Foot,Open Play,"[82.0, 41.0]",0.0076720365
